순번,논문명,저자명,출판년
38,웨이블릿 변환 기반 한국 주식시장 실현 변동성 예측 = Forecasting realized volatility in the Korean stock market with wavelet decomposition,홍세현,2025
39,VKOSPI와 KOSPI200 옵션에서 추출한 내재 절대 편차 지표를 활용한 미래 주식 수익률 예측 연구 = (A) study on predicting future stock returns using VKOSPI and option-implied absolute deviation index extracted from KOSPI200 options,이승훈,2025
40,외부자본 조달 지급활동에 대한 실증연구: 한국시장을 중심으로 = Financing payouts: an empirical study in the Korean stock market,이용진,2025
41,한국 스마트베타 ETF의 상장 전후 성과에 대한 연구 = Are smart beta ETFs really ‘smart’? : a study on the performance of Korean smart beta ETFs before and after listing,이지훈,2025
42,한국 주식시장 내 요인 포트폴리오의 공통요인 변동성 연구 = Common factor volatility of factor portfolios in the Korean stock markets,황성진,2025
43,한국 유가증권시장의 모멘텀 수익률 구성 요소 분석 = (An) analysis of the components of momentum returns in the KOSPI market,권나현,2025
44,한국 주식시장에서 투자자 관심도가 주가 폭락에 미치는 영향 = (The) effect of investor attention on stock price crash risk : the case of the Korean stock market,이행석,2025
45,규제 변화의 파급효과: 경기대응완충자본이 국내 은행 및 은행지주회사의 신용 리스크와 주가에 미치는 영향 = (The) ripple effect of regulatory changes: the impact of countercyclical capital buffer on domestic banks’ CDS spreads and stock prices,이혜수,2025
46,국내 회사채 시장의 수익률 추세 프리미엄 연구 = Yield trend premium in Korean corporate bond market,이호승,2025
47,한국 주식시장의 주식 요인별 위험-수익률 상충관계 연구 = (A) study on the risk-return tradeoff among equity factors in the Korean stock market,김성은,2025
48,한국 주식 시장에서 COP/P를 활용한 가치 전략의 평가 = Evaluating value strategies using COP/P in the Korean stock market,김윤성,2025
49,한국 주식시장 리스크 예측을 위한 변동성 기반 VaR 및 ES 모형의 실증 연구 = (An) empirical study of volatility-based VaR and ES models for risk forecasting in the Korean stock market,김정빈,2025
50,머신러닝을 활용한 기술적 지표 기반 국내 주가 예측: 유전 알고리즘을 중심으로 = Stock price prediction based on technical indicators using machine learning in the Korean stock market: focusing on genetic algorithms,임재구,2025
51,레버리지 효과 및 변동성 피드백 효과 = Leverage effect and volatility feedback effect,전성원,2025
52,ESG 평가 불확실성이 한국 주식시장의 지속 가능한 투자에 미치는 영향에 대한 연구 = ESG rating uncertainty and sustainable investing: evidence from the Korean stockmarket,전세현,2025
53,주가 신호 패턴에 따른 개인 투자자의 매매 행태 = Trading behavior of individual investors based on stock price signal patterns,우지원,2025
54,포트폴리오 구성방식의 차이가 자산가격결정모형에 미치는 영향 = Non-standard errors in asset pricing in Korean stock market,최성연,2025
55,한국 주식시장의 주간 MAX 지표 기반 단기 반전 전략 실증 분석 = (An) empirical analysis of the short-term reversal strategy based on the weekly MAX indicator of the Korean stock market,강병표,2025
56,한국 보험회사의 자본성 증권 발행 결정요인과 시장규율 효과 = Capital securities issuance and market discipline effects in Korean insurance companies,김윤서,2025
57,KOSPI200 지수의 실현 변동성 예측: 예측 모형 성능 비교 = Forecasting realized volatility of the KOSPI200 index: do machine learning models outperform?,박건규,2025
58,(The) effects of economic policy uncertainty risk in the Korean stock market = 경제 정책 불확실성 위험이 한국 주식시장에 미치는 영향에 대한 연구,"Kim, Minah",2024
59,애널리스트 저명도와 수익성에 대한 실증 연구 = Empirical analysis on the relationship between the analyst's prominence and the profitability,김지윤,2024
60,한국 시장에서의 애널리스트 예측 적시성과 정확성 분석 = Empirical analysis of the analyst forecast timeliness and accuracy in the Korean stock market,민현하,2024
61,한국 주식시장에서 이익성장률 요인에 대한 실증적 연구 = (An) empirical study on the profitability growth effect in the Korean stock market,박선영,2024
62,한국 주식시장에서 이상현상의 가치와 모멘텀에 대한 실증연구 = (An) empirical analysis of value and momentum of anomalies in the Korea stock market,유상빈,2024
63,암시된 가격 위험과 정보 이산성을 활용한 모멘텀 전략 개선: 한국 유가증권시장에서의 성과와 그 원인 = Enhancing momentum strategies using implied price risk and information discreteness: performance and underlying causes in the Korean stock market,이유상,2024
64,Validation of the methodology for enhancing betting against beta with stochastic dominance tests in Korea stock market = 한국 증권 시장에서 확률적 우위 검증법을 이용해 역베타 전략을 강화하기 위한 방법론 검증,"Lee, Imki",2024
65,(An) empirical study of alternative investment factors in the Korean market = 한국주식시장에서의 기업정보를 이용한 투자성 팩터에 관한 연구,"Jung, In Kyo",2024
66,일중 뉴스의 단기 주가반영과 수익률 기반 거래전략 = (The) impact of intraday news on short-term stock prices and return-based trading strategies,이희승,2024
67,한국 주식시장에서의 중첩 모멘텀 효과 검증 = (An) empirical analysis of the overlapping momentum effect in the Korean stock market,성상훈,2024
68,한국 주식 시장에서 규모 효과의 유효성 재검증 및 실증분석 = (An) empirical study on the validity of the size effect in the Korean stock market,이형로,2024
69,한국 주식시장의 개인투자자의 거래불균형을 이용한 주식 수익률 실증분석 = Empirical analysis of stock returns using individual investors' trading imbalances in the Korean stock market,박준태,2024
70,금융 비율의 주기적 요소를 이용한 한국 주식시장에서의 수익률 예측 방법에 관한 실증 분석 = Forecasting stock returns with the cyclical components of financial ratios in the South Korea market,민동효,2024
71,국내 유가증권시장의 장기 및 단기 모멘텀 수익률 시그널 변화를 활용한 혼합 모멘텀 전략에 대한 실증분석 = (An) empirical analysis of blended momentum strategies using long-term and short-term momentum signal changes in the KOSPI market,이형윤,2024
72,Stock market reactions to ESG policy announcements: evidence from Korea = ESG 정책 발표에 따른 한국 주식시장의 반응에 대한 연구,"Cho, Eunah",2024
73,"(An) empirical study on investor sentiment, style investing, and momentum in the Korean stock market = 한국 주식 시장에서의 투자자 심리를 고려한 스타일투자와모멘텀효과에대한실증연구","Lee, Ju Yun",2024
74,한국 주식시장에서의 모멘텀 수익률 시변 위험 노출도 헤징에 관한 연구 = Hedging the time-varying risk exposures of momentum returns in the Korean stock market,윤기섭,2024
75,한국 주식시장에서 고유 위험의 성분 별 역할에 대한 실증연구 = (An) empirical study of the role of idiosyncratic components in the korea stock market,조근용,2024
76,넬슨 시겔 모형을 활용한 내재변동성 곡선의 구성과 변동성 위험 프리미엄 연구 = (A) study on the construction of the implied volatility curve using the Nelson-Siegel model and the prediction of the volatility risk premium,강지민,2024
77,원화표시 가상화폐시장에서의 MAX 효과에 대한 횡단면 분석 = Cross-sectional analysis of MAX effects in Won-based cryptocurrency market,안세훈,2024
78,"한국 주식 시장에서의 운영 성장과 자산 성장, 기업 성과 및 미래 주식 수익률 = Operating growth and asset growth, firm performance and future stock returns in the Korean stock market",조지훈,2024
79,한국 투자자의 해외투자 포트폴리오 환 위험 헤지 전략: dynamic currency factor hedging을 중심으로 = Hedging strategies for currency risk in overseas investment portfolios of Korean investors: focusing on dynamic currency factor hedging,이선우,2024
80,분산 분해 접근법을 활용한 배당 유연화에 대한 실증 연구 = (An) empirical study on payout smoothing using variance decomposition approach,안서희,2024
81,총변동성 위험 경로를 통한 수익성 이상현상 = Profitability anomaly through the aggregate volatility risk channel,이승진,2024
82,한국 주식 시장에서의 탄소 전환 위험: 탄소 배출과 주식 수익률의 관계 = Carbon-transition risk in the Korean stock market: the relationship between carbon emissions and stock returns,김해리,2024
83,주식 시장 변동성에 대한 원유 변동성의 단기 예측력 - 한국 시장을 중심으로 = Short-term predictability of oil volatility on stock return volatility in the Korean market,배준원,2024
84,"외국인, 기관, 개인 투자자의 모멘텀 거래 성향에 대한 실증 연구 = Foreign, institutions, individual investors and momentum trading in Korean stock market",김진우,2024
85,변동성완화장치의 유동성 등 시장품질 영향에 관한 분석 = Does volatility interruption impact on market quality in the Korean market?,박병직,2024
86,"분기별 기업투자 급증, 주식 수익률, 그리고 포트폴리오 투자 요인에 관한 연구: 한국의 주식시장을 중심으로 = Quarterly corporate investment spikes, stock returns, and the portfolio investment factor: Evidence from Korea",이재민,2024
87,베이지안 모형 평균을 활용한 요인 모형의 한국 주식시장 적용 = Integrating factor models in the Korean stock market using Bayesian model averaging,반유정,2024
88,변동성-가격 탄력성을 이용한 델타 헷징에 관한 연구 : 코스피 200 옵션 데이터를 중심으로 = Using volatility-price elasticity in delta hedging : in the KOSPI200 index option market,한국현,2024
89,Predicting closing call auction return in the korean treasury bond futures market = 대한민국 국채 선물 시장 장마감 동시호가 수익률 예측,"Kim, Jongjae",2024
90,"기술 확산과 기업투자 그리고 주가수익률 관계에 대한 한국 주식시장 실증 분석 = Technology spillover, corporate investment and stock returns : The case of the Korean stock market",최경훈,2024
91,한국 주식시장에서의 거래비용을 고려한 단기 반전 수익 = Trading costs and short-term reversal profits in the Korean stock market,박상우,2024
92,한국 주식시장에서 환경오염 리스크가 자산 가격에 미치는 영향에 대한 실증연구 = (The) pollution premium: implications in the Korean stock market,김영석,2024
93,Follow the Leader: 한국 주식시장에서의 요인 모형을 활용한 지수 추적 연구 = Follow the Leader: index tracking with factor models in the Korean stock market,최보경,2024
94,한국 주식시장에서 공매도 잔고비율 서프라이즈의 수익률 예측력에 관한 실증연구 = (An) empirical study of the predictability with surprise in short interest ratio in the Korean stock market,이민경,2024
95,한국 주식 시장에서 비유동성이 실물 경제에 미치는 효과 : 투자와 생산을 중심으로 = (The) real effect of stock illiquidity: focusing on investment and production in the Korean stock market,김수용,2024
96,역베타 전략 재평가: 비표준 방법의 함의 = Betting against betting against beta: implications of non-standard methods in the Korean market,김성결,2024
97,한국 주식시장에서 잔여이익모형에 기반한 가치 프리미엄 및 새로운 가치 프리미엄 팩터를 활용한 가격결정모형들의 유효성 분석 = (An) empirical analysis of RIM-based value premium and the effectiveness of pricing models using the new value premium factor in the Korean stock market,류용옥,2024
98,한국주식시장의 KOSPI200 지수 구성종목 변경에 따른 해당주식의 주가반응 실증분석 = (The) impact of KOSPI 200 index changes on stock prices : an analysis of additions and deletions,"Lee, Min Sang",2024
99,변동성 지수를 활용한 포트폴리오 헤징 전략 분석 = (An) analysis on portfolio hedging strategies using the VKOSPI index,"Park, Sanghun",2024
100,"거시경제 리스크 모형을 이용한 한국 주식시장 내 가치 효과와 모멘텀 효과 분석 = (A) macroeconomic risk model for value, momentum in Korean stock market","Jeong, Hyunjae",2024
101,한국시장에서의 확장 q요인 모형과 예측 성장 요인에 대한 실증분석 = (An) empirical analysis of an augmented q-factor model with expected growth in Korean stock market,전재열,2023
102,KOSPI200 실현 변동성 추정: 부스팅 계열 모형과 거시경제변수를 중심으로 = KOSPI200 realized volatility estimation: focused on boosting models and macroeconomic variables,정민구,2023
103,정보환경에 따른 재량적 이익유연화와 기업신용 및 기업가치의 관계 실증연구 = (An) empirical study on the relationship between discretionary earnings smoothing and credit quality & firm value depending on information environment,정윤중,2023
104,"자금조달환경이 현금보유 및 주식수익률의 관계에 미치는 영향 = Funding conditions, cash holdings, and stock returns in the Korean stock market",임지훈,2023
105,"한국 주식시장에서의 유동성 요소: 유동성 동행화와 투자자 과소반응에 대한 주식 수익률 실증 분석 = Liquidity components in the Korean stock market: commonality in liquidity, underreaction, and equity returns",조규영,2023
106,코스닥 기술성장기업의 IPO 저평가 요인에 대한 실증 연구 = (An) empirical study for ipo underpricing factors: case of KOSDAQ technology growth companies,한석호,2023
107,한국 주식시장에서 투자 요인과 이익 요인의 횡단면적 상관관계가 자산가격 결정에 미치는 영향 실증 분석 = (An) empirical study of the cross-section of investment and profitability: implications for asset pricing in Korean stock market,"Kim, Kyung-Sub",2023
108,한국 주식시장에서의 현저성 이론 검증 = Salience theory and stock prices: empirical evidence in the Korean stock market,김규희,2023
109,"한국 주식 시장의 투자자 심리지수와 채권 시장의 반응: 과잉 투자와 자본 흐름을 중심으로 = Equity investor sentiment and bond market reactions in Korea, test of overinvestment and capital flow hypotheses",기태의,2023
110,급격한 부채 및 자산가격 상승과 금융위기와의 관계에 관한 실증연구 : 신흥시장을 중심으로 = (An) empirical study on the relationship between rapid growth of credit and asset price and the financial crisis in the emerging markets,김아영,2023
111,한국 주식시장에서의 야간/주간수익률 반전현상 및 미래 주식수익률에 관한 연구 = (An) empirical study on overnight-to-daytime reversals and future stock returns in the Korean stock market,김재용,2023
112,거래 데이터로부터 정보식별 및 VPIN 모형비교: Kospi200 선물시장을 중심으로 = Information identification and VPIN model comparison from transaction data: Focusing on the Kospi200 futures market,김창균,2023
113,국내 상장기업의 자본구조와 주식수익률의 관계에 관한 실증 연구 = (An) empirical study on the relationship between capital structure and common stock returns in the Korean stock market,문선영,2023
114,한국 주식시장에서 거래량과 시변 베타에 대한 실증 연구 = Empirical study on trading volume and time-varying beta in the Korean stock market,박상백,2023
115,한국 시장에서의 애널리스트 이익 예측치 분산 이상현상 실증분석 및 원인 연구 = Empirical analysis and cause study of the anomaly about dispersion of analyst's earning forecast in the Korean market,박재환,2023
116,국내 상장 기업의 ESG 정보 공개와 최초기업공개(IPO) 상장 초일 수익률에 관한 실증 분석 = Does green bring profit to corporations?,배준환,2023
117,52주 고가비율 가치가중평균이 모멘텀 수익에 대해 가지는 예측력 실증연구 = Empirical study on aggregate 52-week high and limited attention to momentum profits in KOSPI,신성근,2023
118,한국 주식시장에서 투자자 심리 지수와 수익률 반전 현상에 대한 실증 연구 = Empirical study on investor sentiment index and return reversal on Korean stock market,"Kim, Gyung-Won",2023
119,Navigating the tails : uncovering cross-sectional tail risk in the Korean market = 한국 시장에서의 횡단면 꼬리위험에 대한 실증 분석,이지은,2023
120,가격 및 거래량의 현저성 이론 : 유가증권시장을 중심으로 = Salience theory in price and trading volume: evidence from the Korean stock market (KOSPI),"Kim, Jae-Heon",2023
121,Rates trading strategies based on predictions of Nelson-Siegel parameter changes: Evidence in the Korean swap market = 넬슨-시겔 모형 파라미터 예측을 통한 이자율 트레이딩 전략,강민모,2023
122,Performance analysis of pairs trading using firm characteristics via clustering methods in the Korean stock market = 한국 주식 시장에서 기업 특성과 군집화 방법을 통한 페어 트레이딩 전략 성과 분석,박민우,2023
123,(The) impact of employee satisfaction on stock returns in Korea = 직원 만족도가 한국 주식 수익률에 미치는 영향,전제원,2023
124,Enhanced momentum strategies in commodity futures market = 상품 선물 시장에서의 모멘텀 수익률 개선에 대한 연구,안효은,2023
125,상장 지수 펀드 소유지분이 개별 구성 주식의 변동성에 미치는 영향 = Impact of ETF ownership on volatility of their constituents,"Kim, In Hye",2023
126,극단적 손실을 겪는 주식과 주식수익률 간의 관계 = Relationship between stocks experiencing extreme negative returns and stock returns,"Kim, Min-Ho",2023
127,Empirical analysis of the relationship between analyst forecast accuracy and return anomalies in the Korean stock market = 애널리스트의 이익 예측 정확성과 수익률 이상현상 간의 관계,정원재,2023
128,(An) empirical study of principal portfolio analysis using prediction matrix in the Korean stock market = 예측 매트릭스를 활용한 주요 포트폴리오 분석을 한국 주식 시장에 적용한 실증 연구,강지수,2023
129,상관관계를 넘어서: 기업의 ESG 성과와 가치 사이의 인과관계 탐색 = Beyond correlation : Exploring causality between corporate ESG performance and value,"Kwon, Seung-Jin",2023
130,한국 옵션시장에서 손익분기변동성을 사용한 옵션가격 산출 가능 여부 검증 = (An) empirical test for option pricing via breakeven volatility in the Korean option market,"Kim, Giryeon",2023
131,한국 ELW 시장의 일중 모멘텀에 관한 실증 연구 = (An) empirical analysis on the intraday momentum in Korea ELW market,"Lee, Heechang",2023
132,"ESG sharpe ratio frontier : evidence from Korea = 환경, 사회, 기업지배구조 샤프 투자기회선: 한국시장 실증분석",김에릭,2023
133,한국 주식시장에서 모멘텀 붕괴를 회피하기 위한 전략 = (A) strategy to avoid momentum crash in the Korean stock market,신현수,2023
134,한국 주식시장에서 거시경제 뉴스와 기업의 실적 뉴스의 관계가 미치는 영향에 대한 실증연구 = (An) empirical study about the effect of the relationship between macro-economic news and earning announcements in the Korean stock market,윤성현,2023
135,변동성 미소 내재 민감도 : KOSPI200 옵션을 중심으로 = Smile implied greeks : KOSPI200 options,이재열,2023
136,주성분 분석을 이용한 한국 시장 기업들의 요인 추출 및 분석 = Empirical analysis of factor models using PCA on the Korean equity market,유호진,2022
137,한국 주식시장에서의 모멘텀을 활용한 가치요인의 재고 = Finding value using momentum in Korean stock market,이용준,2022
138,한국시장에서 모멘텀 갭의 모멘텀 수익률 예측가능성 = Momentum gap and return predictability in Korea,이우종,2022
139,고빈도 데이터 기반 편차 최소화 방법과 공적분 방법을 사용한 페어 트레이딩 전략의 성과분석 = Performance analysis of pairs trading with distance and cointegration methods on high-frequency data,임연수,2022
140,보유편익률에 영향을 받지 않는 무위험 이자율의 추정: 한국 시장을 중심으로 = Estimating risk-free interest rates unaffected by convenience yields from the Korean option market,장세영,2022
141,일중데이터를 기반한 KOSPI 개별 주식들의 초단기 비정상 거래량과 주가수익률의 관계 = Intraday abnormal short-term trading volume and stock returns in KOSPI,정현수,2022
142,넬슨-시겔 람다 모수의 한국 경제에 대한 예측력 분석 = (The) predictive power of the Nelson-Siegel lambda parameter in the South Korean economy,윤재호,2022
143,투자자감정지수와 VKOSPI를 중심으로 한 Value-at-Risk와 한국 시장의 초과수익률 관계에 대한 실증연구 = Empirical study on value-at-risk and excess return in the Korean market focused on investor sentiment index and VKOSPI,정승범,2022
144,한국 주식시장에서 시장 감마에 따른 일중 모멘텀 현상에 대한 연구 = Short gamma exposure and market intraday momentum in Korea,전상윤,2022
145,주식 가격에 영향을 미치는 호가창 형태에 관한 연구 = Shape of limit order book affecting on price dynamics in Korea market,박재만,2022
146,온라인 주식토론방 활성도가 주가와 거래량의 교호관계에 미치는 영향 = Impact of activeness in internet stock message boards on the relations between trading volume and stock prices,송정한,2022
147,부분 모멘트 모멘텀을 활용한 횡단면 모멘텀 수익률 실증 분석 : 한국 시장을 중심으로 = (An) empirical study on the cross-section of stock returns using partial moment momentum in the Korean market,김경준,2022
148,"한국 주식시장의 가격오류, 거래량과 수익률의 관계에 관한 실증연구 = (An) empirical study of the relationship among mispricing, trading volume and expected return in the Korean stock market",원소현,2022
149,한국 주식시장의 조건부 유동성 리스크 프리미엄 분석 = (The) pricing of conditional illiquidity risk premium in Korea stock market,장한이,2022
150,거시경제 변수를 활용한 금 가격 예측 모형 실증 분석 = (An) empirical analysis on the gold price forecasting models using macro-economic indicators,이상현,2022
151,High frequency volatility variation as a measure of performance for ETFs = ETF 성과 지표로서 고빈도 변동성 변화의 활용성,"Kim, Jae-Hong",2022
152,음원차트를 이용한 투자자 감정분석 및 한국 주식시장 수익률과의 관계에 대한 실증분석 = Relationship between music sentiment and Korean stock market returns,김정우,2022
153,한국 채권시장에서의 정량적 거래기법의 유효성 실증분석 = (An) empirical study on the validity of quantitative trading in the korean bond market,강기훈,2022
154,뉴스기사의 지도학습 기반 텍스트 감성점수를 활용한 주가 수익률 예측 :한국 주식 시장 실증 분석 = Predicting returns with text sentiment scores from news: an empirical evidence from korean stock market,김다인,2022
155,시간 가중치 최소자승 접근법을 활용한 주식 초과수익률 예측 = Forecasting excess stock returns using a time-dependent weighted least squares approach,김용호,2022
156,한국 주식시장에서의 가격 앵커링 효과와 단기 반전 현상 연구 = Price anchor and short-term reversal: empirical study on korean stock market,김영건,2022
157,한국 코스피 주식시장에서의 수익률 부호확률을 이용한 모멘텀 전략 실증분석 = (An) empirical analysis of the momentum strategy using probability of sign return in korean kospi stock market,김태훈,2022
158,"한국 주식시장의 요일효과 검증: 미국시장으로부터의 전이효과 중심으로 = (The) day of the week effect on the Korean stock market, focusing on the mood contagion from the US market",김형민,2022
159,한국 주식시장에서 자사주 매입 공시 이전 공매도의 주가수익률 예측력에 대한 실증분석 = (An) empirical study on stock return predictability of short selling before share repurchase announcements,박재현,2022
160,연구개발비 품질과 기업가치에 관한 실증 분석: 한국 시장을 중심으로 = Empirical analysis on R&D expenditure quality and corporate value: emphasis on korean market,박지선,2022
161,V-KOSPI 기반 마켓 타이밍 전략 연구: 심리 기반 팩터 포트폴리오 수익률의 횡단면적 분석을 중심으로 = Market timing strategy using V-KOSPI: cross-sectional analysis of factor portfolio returns and their sentiment sensitivity,신재석,2022
162,한국 ETF 시장에서 차익거래가 가지는 비본질적 수요에 대한 신호효과 및 수익률예측성에 관한 실증연구 = (An) empirical study on signaling effect on non-fundamental demand of arbitrage trading and return predictability in the Korean ETF market,안희찬,2022
163,IPO 저 성과현상과 고유변동성 퍼즐의 관계 : 한국 시장에서의 실증분석 = (A) study of relationship between IPO underperformance and the idiosyncratic risk puzzle : evidence from Korean IPO,이준혁,2022
164,조기 실적발표 기간 코스피 200 기업의 시장베타와 초과수익률 간 상관관계 분석 = (An) empirical analysis on relation between market betas and excess returns of KOSPI 200 firms on early earnings announcement period,유다솜,2022
165,한국 주식시장 가치주 성과 결정 요인에 관한 분석: 이익잉여금 요인 중심으로 = Determinants of Korean value stock performance: focus on retained earnings factor,이재림,2022
166,추정 오류 감소를 목적으로 수축 방법을 이용한 포트폴리오 최적화 = Portfolio optimization using shrinkage method to reduce the estimation error,이호준,2022
167,한국 주식시장에서 상대적 부호 점프(RSJ)의 수익률 예측에 대한 실증 연구 = (An) empirical study on the stock return prediction with relative signed jump(RSJ) in the Korean equity market,임채빈,2022
168,워드임베딩을 활용한 국내기업의 기업문화 정량화 및 재무적 성과와의 관계 = Quantifying corporate culture using word-embedding and its impacts on financial performance,최성욱,2022
169,"팩터 구성 방법론 : 한국 주식시장의 규모, 가치 요인을 중심으로 실증 분석 = Dissecting sorting algorithms: empirical analysis of Korean size and value factor",장수정,2022
170,시간 의존적 복권 성향 선호와 횡단면 수익률 분석 : 한국 시장을 중심으로 = Time-dependent lottery preference and the cross-section of stock returns in the Korean market,한기섭,2022
171,GARCH 모형을 활용한 국채 선물 조건부 변동성이 한국 실질 국내 총생산에 미치는 영향 = (The) effect of conditional volatility in Korea treasury bond futures using GARCH Model on Korea's real GDP,한정현,2022
